297,105932007310438,105932007310425,5,5
6172084638748796169,6772924081897950906,-439872221081359840,5,5
6172084638748796169,-871952864121460423,-439872221081359840,8,5
6172084638748796169,-8163978524622874713,-4399560241449751032,5,6
6172084638748796169,1061442860409909852,-4399560241449751032,8,6
6172084638748796169,-7045346256166181776,-4399560241449751032,9,6
6172084638748796169,3114503003945783353,558996559653480989,1,10
6172084638748796169,4028988288710299539,558996559653480989,9,10
6172084638748796169,-4368589981012253666,558996559653480989,7,10
6172084638748796169,3583815065475901761,4886275601913311427,9,8
6172084638748796169,3956468033724202875,4886275601913311427,9,8
6172084638748796169,3886246458501988430,4886275601913311427,7,8
6172084638748796169,-4659243866979062801,-8544500945033031966,10,10
6172084638748796169,6221717090027927243,-8544500945033031966,9,10
6172084638748796169,1515860344607242960,-8544500945033031966,8,10
6172084638748796169,8605215923270619261,-7469018899688852030,10,9
6172084638748796169,-439872221081359840,-7469018899688852030,8,9
6172084638748796169,6075029710091339404,-7469018899688852030,9,9
6172084638748796169,-1423843177372503786,-871952864121460423,10,9
6172084638748796169,6322730725596312482,-871952864121460423,9,9
6172084638748796169,-7612632836472599996,-871952864121460423,3,9
6172084638748796169,-7938515534640327149,3435133013602369121,10,10
6172084638748796169,-8488253797770719374,3435133013602369121,8,10
6172084638748796169,-199819911720151100,3435133013602369121,10,10
6172084638748796169,4777301647485082012,-7338545036937664012,9,10
6172084638748796169,-2193117032291352962,-7338545036937664012,8,10
6172084638748796169,682639794936953895,-7338545036937664012,9,10
6172084638748796169,-2951872873501038187,-4156472829060594933,4,9
6172084638748796169,4886275601913311427,-4156472829060594933,9,9
6172084638748796169,-7842112538524280425,-4156472829060594933,8,9
6172084638748796169,2375520620968083442,-199819911720151100,9,10
6172084638748796169,-4399560241449751032,-199819911720151100,8,10
6172084638748796169,9029419277100227769,-199819911720151100,10,10
6172084638748796169,-3684962945227030719,-1308114088796828020,7,10
6172084638748796169,-9097618333075951711,-1308114088796828020,9,10
6172084638748796169,8276695665851841959,-1308114088796828020,8,10
6172084638748796169,-7549044542658677463,-4927287132230189246,7,8
6172084638748796169,-834424193583386277,-4927287132230189246,7,8
6172084638748796169,-8544500945033031966,-4927287132230189246,8,8
6172084638748796169,-4156472829060594933,119405354243829126,9,10
6172084638748796169,-9036245281666886400,119405354243829126,7,10
6172084638748796169,-7469018899688852030,119405354243829126,10,10
6172084638748796169,7888040082668909991,3886246458501988430,9,10
6172084638748796169,-3071343025766258013,3886246458501988430,10,10
6172084638748796169,5667245300728317619,3886246458501988430,9,10
6172084638748796169,-3160223816024771646,-2604030986421087519,7,9
6172084638748796169,7978076031976895597,-2604030986421087519,5,9
6172084638748796169,3435133013602369121,-2604030986421087519,5,9
6172084638748796169,7035096016179657932,-7045346256166181776,10,10
6172084638748796169,2716282663198076970,-7045346256166181776,9,10
6172084638748796169,558996559653480989,-7045346256166181776,8,10
6172084638748796169,6683686133658419152,-8163978524622874713,8,8
6172084638748796169,-2977939121720416192,-8163978524622874713,10,8
6172084638748796169,-896250618481557648,-8163978524622874713,7,8
6172084638748796169,-537601109957426853,-896250618481557648,4,10
6172084638748796169,-7338545036937664012,-896250618481557648,2,10
6172084638748796169,-4924527500835913260,-896250618481557648,8,10
6172084638748796169,-2604030986421087519,-1569441151539081321,8,10
6172084638748796169,3933438219367004475,-1569441151539081321,10,10
6172084638748796169,7771596271494731631,-1569441151539081321,7,10
6172084638748796169,1061442860409909852,8605215923270619261,8,9
6172084638748796169,-8253760891034386956,8605215923270619261,9,9
6172084638748796169,-4924527500835913260,8605215923270619261,9,9
6172084638748796169,2375520620968083442,-7938515534640327149,10,10
6172084638748796169,-1569441151539081321,-7938515534640327149,7,10
6172084638748796169,4886275601913311427,-7938515534640327149,9,10
6172084638748796169,-1423843177372503786,8276695665851841959,4,7
6172084638748796169,-1569441151539081321,8276695665851841959,7,7
6172084638748796169,-2977939121720416192,8276695665851841959,7,7
6172084638748796169,7888040082668909991,3933438219367004475,10,10
6172084638748796169,-537601109957426853,3933438219367004475,7,10
6172084638748796169,230150499066460719,3933438219367004475,10,10
6172084638748796169,3933438219367004475,-3071343025766258013,10,9
